	GWC2	ORAL_P_A_F_Bin_00012	ORAL_P_A_F_Bin_00021	ORAL_P_A_F_Bin_00032	ORAL_P_A_F_Bin_00045	ORAL_P_A_F_MAG_00015	ORAL_P_A_M_Bin_00015	ORAL_P_A_M_Bin_00020	ORAL_P_B_F_Bin_00037	ORAL_P_B_F_MAG_00010	ORAL_P_B_F_MAG_00020	ORAL_P_B_F_MAG_00026	ORAL_P_B_F_MAG_00030	ORAL_P_B_M_Bin_00030	ORAL_P_B_M_MAG_00009	ORAL_P_B_M_MAG_00010	ORAL_P_B_M_MAG_00013	ORAL_P_C_F_Bin_00020	ORAL_P_C_F_Bin_00028	ORAL_P_C_F_MAG_00002	ORAL_P_C_F_MAG_00004	ORAL_P_C_M_Bin_00016	ORAL_P_C_M_Bin_00022	ORAL_P_C_M_Bin_00040	ORAL_P_C_M_MAG_00010	ORAL_P_C_M_MAG_00011	ORAL_P_C_M_MAG_00013	ORAL_P_D_F_Bin_00011	ORAL_T_A_F_MAG_00011	ORAL_T_A_F_MAG_00015	ORAL_T_A_F_MAG_00016	ORAL_T_B_F_Bin_00010	ORAL_T_B_F_Bin_00011	ORAL_T_B_F_Bin_00014	ORAL_T_B_M_MAG_00011	ORAL_T_B_M_MAG_00012	ORAL_T_C_F_MAG_00008	ORAL_T_C_M_Bin_00011	ORAL_T_C_M_Bin_00012	ORAL_T_C_M_Bin_00015	ORAL_T_C_M_Bin_00022	ORAL_T_C_M_MAG_00008	ORAL_T_D_F_MAG_00008	ORAL_T_D_F_MAG_00010	RAAC3	S_aal	TM7_MAG_III_A_1	TM7_MAG_III_A_2	TM7_MAG_III_B_1	TM7_MAG_III_C_1	TM7_S1_	TM7_S2_	TM7_S7_	TM7c	TM7x
FoF1-type ATP synthase, beta subunit	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	2	1	0	1	0	1
Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	1	0	1	1	0	2	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	2	1	1	1
ABC-type multidrug transport system, ATPase component	0	1	0	2	1	0	2	1	2	2	0	1	2	2	2	1	1	1	2	1	2	1	0	2	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	2	1	1	2	2	2	0	0	2	0	1	1	0	1
Undecaprenyl pyrophosphate phosphatase UppP	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1
UDP-N-acetylmuramyl tripeptide synthase	1	0	1	1	2	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2	1	2	2	2	0	2	2	1	1	2	2	1	1	1	0	1	1	0	0	1	0	1
FoF1-type ATP synthase, epsilon subunit	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1
Zn-dependent protease (includes SpoIVFB)	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	1	1	1	1	0	1	2	1	2	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	0	1	1	0	2
Peptidyl-tRNA hydrolase	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	2	1	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1
tRNA G10  N-methylase Trm11	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	2	1	0	2	1	1	1	1	1	1	1	1	1	0	1	1	0	1
Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	2	0	1	0	0	0	0	1	1	0	0	2	1	0	1	2	0	1	0	2	0	0	0	1	0	1	1	0	0	1	2	2	1	0	0	1	0	2	0	1	0	0	0	1	1	1	1	0	1	3	0	0	2	0	1
Sugar or nucleoside kinase, ribokinase family	2	1	3	2	0	1	2	2	2	1	1	0	2	2	1	0	1	2	0	1	1	1	2	2	1	1	2	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	2	2	1	1	2	0	1	2	1	2	2
Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	0	1	1	2	1	2	1	0	1	2	2	1	1	2	1	1	1	0	1	0	1	1	2	1	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	2	0	2	1	0	0	1	0	0
FoF1-type ATP synthase, gamma subunit	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1
Phosphoglycerate mutase (BPG-dependent)	0	0	1	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	1	0	0	1	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1
Thiol-disulfide isomerase or thioredoxin	1	2	1	1	1	1	1	2	1	2	1	1	0	1	1	1	1	2	1	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	1	0	0	1	0	1
dTDP-D-glucose 4,6-dehydratase	0	2	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	1	2	1
Uncharacterized N-terminal domain of peptidoglycan hydrolase CwlO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	2	0	1	1	0	1
Thymidylate kinase	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	3	0	0	1	1	1
ABC-type Na+ efflux pump, permease component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1
Single-stranded DNA-binding protein	1	0	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	1	0	1	0	0	2	2	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	2	1
dTDP-4-dehydrorhamnose reductase	0	2	2	3	1	2	3	3	2	3	3	3	1	1	2	3	6	1	3	0	0	3	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	3	1	2	5	3
Aminopeptidase N	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	0	1	3	1
ABC-type multidrug transport system, permease component	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	3	1	0	1	1	1	1	0	0	1	0	2	1	2	0	0	1	0	1	2	1	1	2	1	0	0	0	0	0	1	0	1
Uncharacterized conserved protein YabE, contains G5 and tandem DUF348 domains	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	3	2	2	1	2	2	2	2	1	1	1	2	1	1	2	1	0	1	1	1	1	1	1	1	1	2	1	1	2	0	1	2	3	0	0	0	0	2	2
GTPase, G3E family	0	1	2	2	1	2	2	2	1	1	1	1	0	2	2	2	2	1	2	1	1	2	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	3	0	2	4	2	4	1	0	1
Predicted phosphoribosyltransferase	1	0	2	1	0	2	1	1	1	0	2	0	0	1	2	0	2	1	1	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	1	0	0	0	1	1	1	1
Methylase of polypeptide chain release factors	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
FoF1-type ATP synthase, membrane subunit b or b'	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	1
Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1
Pyruvate-formate lyase-activating enzyme	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1
ABC-type antimicrobial peptide transport system, permease component	1	1	3	6	4	3	4	3	4	4	7	6	4	4	6	6	5	4	4	3	6	3	1	3	5	3	3	5	4	4	2	4	3	2	5	5	4	0	2	5	4	2	4	5	1	1	7	1	5	2	5	0	5	1	4
Glycosidase	0	1	3	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1
3-phosphoglycerate kinase	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	0	0	1	0	1	1
Thymidylate synthase	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	2	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1
DNA-binding transcriptional regulator, IscR family	0	1	2	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0
Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase	1	1	2	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	1	0	0	1	0	0
Uridylate kinase	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0
MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1
Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	1	1	0	1	2	1	1	2	1	1	1	3	1	1	2	3	1	1	1	1	1	1	1	1	1	1	0	2	2	1	1	1	1	1	2	2	2	0	2	2	1	2	1	2	1	1	2	1	1	2	1	1	2	3	1
Cell division protein FtsI/penicillin-binding protein 2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	0	1	1	0	1
AraC-type DNA-binding domain and AraC-containing proteins	0	1	0	1	0	1	2	0	0	1	2	0	1	1	1	0	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1
Histidyl-tRNA synthetase	1	1	1	1	1	2	1	1	1	2	2	2	0	1	2	1	2	1	1	1	2	2	0	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	1	2	1	0	0	1
4-amino-4-deoxy-L-arabinose transferase or related glycosyltransferase of PMT family	0	1	1	3	1	3	2	1	1	1	2	2	1	3	3	2	2	1	2	1	1	2	1	1	0	0	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	2	2	0	2	2	3	1
Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1
Dihydroorotate dehydrogenase	0	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	2	0	1	1	2	1
Prephenate dehydratase	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0
Deoxycytidine triphosphate deaminase	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1
Uncharacterized conserved protein YeaO, DUF488 family	0	1	0	1	1	1	0	0	0	1	1	0	0	2	1	0	2	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	2	0
Dihydrofolate reductase	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1
Arginyl-tRNA synthetase	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	2	1
Uncharacterized conserved protein YggU, UPF0235/DUF167 family	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	2	0	0
Glycosyltransferase, GT2 family	0	1	1	2	0	2	2	1	1	0	4	3	2	2	3	3	1	3	2	0	1	1	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	6	2	2	1	3	3
Glucan phosphorylase	0	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1
1,4-alpha-glucan branching enzyme	1	1	1	1	0	1	1	1	2	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1
Copper oxidase (laccase) domain	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Ribosomal protein L34	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0
Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	2	0	1	1	1	1	1
Uracil DNA glycosylase	0	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1
LysM repeat	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	3	1	1	1	3	1	1	1	1	0	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	2	1	1	3	0	1	0	0	1
Predicted Rossmann fold nucleotide-binding protein	2	1	1	1	0	1	1	1	1	1	1	0	1	1	2	0	2	1	0	1	1	2	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	2	1	1
5'(3')-deoxyribonucleotidase	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0
Ferredoxin-NADP reductase	0	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1
Membrane protein involved in the export of O-antigen and teichoic acid	0	0	0	1	2	0	1	1	0	0	2	2	0	0	1	1	2	1	1	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	1	0	0	3	1	0	1	2	1
Protein-disulfide isomerase	1	2	1	3	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	0	0	1	2	1	1	0	0	1	0	1	1	1	1	1	1	0	2	2	1	1	1	2	1	1	3	0	1	2	1	2
GMP synthase - Glutamine amidotransferase domain	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0
Ribosomal protein L29	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1
Predicted esterase of the alpha/beta hydrolase fold	1	1	1	1	1	2	1	1	1	0	0	2	1	1	0	2	1	1	1	0	1	1	2	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	1
Succinyl-CoA synthetase, alpha subunit	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	1	1	0
3-methyladenine DNA glycosylase AlkD	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1
Uncharacterized conserved protein YacL, contains PIN and TRAM domains	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	0	1
Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1
Fe2+ or Zn2+ uptake regulation protein	0	2	2	1	1	2	1	2	2	2	1	0	0	1	2	2	2	2	1	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	1	1	1	1	1	2
Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0
Predicted membrane protein	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0
Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase	1	1	2	3	1	1	1	2	2	0	0	1	1	2	3	2	1	2	1	1	1	1	2	1	1	1	1	1	1	0	2	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	0	0	3	0	2
Uncharacterized conserved protein YajQ, UPF0234 family	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1
Uncharacterized membrane protein YbhN, UPF0104 family	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1
Uncharacterized conserved protein YjdB, contains Ig-like domain	0	0	1	1	0	1	1	0	0	0	2	1	0	1	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0
Uncharacterized protein YjaZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	2	1	3	0	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0
Small-conductance mechanosensitive channel	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	0	0	0	1	2	0	2	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	1
Pseudouridylate synthase, 23S rRNA- or tRNA-specific	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
FKBP-type peptidyl-prolyl cis-trans isomerase	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	2	1	2	1	1	1	1	1	1	1	0	1
Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
Succinyl-CoA synthetase, beta subunit	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	1	1	0
Sortase (surface protein transpeptidase)	0	2	2	2	2	3	2	2	2	2	3	2	2	2	3	2	3	2	2	0	2	2	1	2	0	2	2	3	2	2	1	2	1	1	2	2	2	2	2	3	1	2	2	1	0	3	3	3	2	3	1	1	1	1	2
Ribosomal protein L25 (general stress protein Ctc)	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0
Predicted arabinose efflux permease, MFS family	1	1	0	0	2	0	0	0	0	1	0	2	1	0	0	2	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0
Neutral trehalase	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0
Ribosomal protein L36	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	2	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0
Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)	0	2	1	1	0	1	1	1	1	1	1	0	2	1	2	1	0	1	0	0	2	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0	2	1	1	0	1	1	0	0	2	0	0	2	2	1
Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
Gas vesicle protein	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Tfp pilus assembly protein PilN	0	1	1	2	0	2	2	1	1	2	2	2	2	2	1	2	2	1	2	0	2	2	1	2	0	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0	0	2	1	2	1	3	1	1	1	2	1
Predicted membrane metal-binding protein	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	2	3	0	1	1	0	1
S-adenosylmethionine synthetase	1	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0
Nitroreductase	0	0	1	0	0	2	0	0	0	1	1	0	1	0	0	0	2	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	2	1	1	0
Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	0	0	0	0	0	1	1	1	2	1	1	2	0	1	0	2	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
